Event,AvgScore,MinScore,MaxScore,AvgDelta,MinDelta,MaxDelta,LPS,LNS
27,562,-77,10682,-44.6759259259259,-8109,8275,0.463636363636364,0.118181818181818
28,6.16923076923077,-122,143,-0.65625,-143,93,0.430769230769231,0.384615384615385
29,128.494845360825,-261,1070,2.94791666666667,-679,1068,0.329896907216495,0.0103092783505155
30,49.3846153846154,10,78,-2.36,-40,20,1,0
31,42.8943089430894,-19,152,0.155737704918033,-83,68,0.0975609756097561,0.016260162601626
32,-56.7023809523809,-1238,212,14.6506024096386,-207,687,0.0119047619047619,0.0952380952380952
33,626.513043478261,-71,10221,-11.140350877193,-9440,5371,0.391304347826087,0.173913043478261
34,7.94029850746269,-27,94,0.560606060606061,-94,62,0.283582089552239,0.134328358208955
35,58.2564102564103,-160,454,1.36363636363636,-196,227,0.628205128205128,0.256410256410256
36,-355.815789473684,-11576,50,26.6666666666667,-9563,8695,0.0131578947368421,0.315789473684211
37,821.809248554913,-6,11756,-34.4418604651163,-10909,6042,0.416184971098266,0.00578034682080925
38,89.9638554216867,-27,943,-11.1829268292683,-606,155,0.144578313253012,0.0602409638554217
39,1335.8345323741,-67,10286,-35.5072463768116,-5368,5383,0.661870503597122,0.0935251798561151
40,60.969696969697,17,115,-1.96875,-28,26,1,0
41,-185.234375,-797,48,12.952380952381,-130,374,0.125,0.71875
42,77.887323943662,-181,1775,-24.2,-1456,175,0.225352112676056,0.295774647887324
43,83.1641791044776,7,1048,-9.60606060606061,-659,396,1,0
44,4.70212765957447,-225,91,-0.195652173913043,-238,231,0.191489361702128,0.106382978723404
45,36.8,20,68,-1.44444444444444,-38,39,1,0
46,-159.74,-907,48,4.90909090909091,-630,569,0.09,0.52
47,26.9625,-25,62,-0.189873417721519,-45,50,0.1125,0.0625
48,-190.057971014493,-1255,75,18.8382352941176,-81,752,0.231884057971014,0.594202898550725
49,24.7368421052632,-1,64,0.277777777777778,-38,41,0.578947368421053,0.0526315789473684
50,-152.857142857143,-453,64,4.06024096385542,-201,165,0.285714285714286,0.547619047619048
51,51.1089108910891,0,218,0.26,-62,94,0,0
52,-197.055555555556,-1085,67,9.41121495327103,-354,618,0.148148148148148,0.5
53,188.032786885246,-42,958,-15.6666666666667,-382,142,0.557377049180328,0.114754098360656
54,-301.967213114754,-10602,72,39.3884297520661,-5838,6184,0.10655737704918,0.69672131147541
55,-79.0714285714286,-377,62,7.2,-38,136,0.321428571428571,0.464285714285714
56,32.2941176470588,-24,75,-0.3,-44,66,0.666666666666667,0.0588235294117647
57,-291.163043478261,-2136,111,19.8241758241758,-358,618,0.347826086956522,0.402173913043478
58,399.404255319149,-5,2458,-18.4347826086957,-553,1584,0.382978723404255,0.0212765957446809
59,-98.9677419354839,-813,16,12.8196721311475,-200,387,0.0483870967741935,0.596774193548387
60,-285.771428571429,-2562,64,37.5072463768116,-255,944,0.285714285714286,0.2
61,355.347826086957,-528,10295,-52.2280701754386,-5384,5320,0.278260869565217,0.0434782608695652
62,632.169230769231,-10,5205,-35,-3952,3148,0.738461538461539,0.0153846153846154
63,269.056910569106,-62,5411,-44.1393442622951,-3735,170,0.75609756097561,0.024390243902439
64,-186.964285714286,-1303,69,12.4578313253012,-560,1010,0.119047619047619,0.642857142857143
65,81.685393258427,-29,307,-3.125,-117,97,0.49438202247191,0.0898876404494382
66,81.4675324675325,-46,660,-5.73684210526316,-475,400,0.545454545454545,0.038961038961039
67,17.74,-51,134,-2.36734693877551,-124,72,0.44,0.18
68,116.698113207547,-49,10289,-97.7428571428571,-10289,88,0.424528301886792,0.19811320754717
69,34.775,15,64,-0.256410256410256,-38,46,1,0
70,-166.6,-5320,74,16.752808988764,-3847,4189,0,0.544444444444444
71,2.88461538461538,-93,89,0.00775193798449612,-127,88,0.230769230769231,0.1
72,326.606741573034,-33,6060,-68.5681818181818,-5196,183,0.696629213483146,0.0112359550561798
73,38.9333333333333,-22,114,0.772727272727273,-63,82,0.933333333333333,0.0666666666666667
74,14,-27,81,-0.375,-34,43,0.465753424657534,0
75,258.128205128205,-10,810,-20.5263157894737,-329,52,0.512820512820513,0.0256410256410256
76,8.21428571428571,-69,93,0.418181818181818,-52,99,0.464285714285714,0.178571428571429
77,-68.6375,-333,49,4.31645569620253,-62,95,0.125,0.475
78,-11.8815789473684,-620,269,3.86092715231788,-308,558,0.776315789473684,0.171052631578947
79,230.150943396226,-43,2151,-38.6730769230769,-1255,532,0.377358490566038,0.113207547169811
80,174.899224806202,-110,581,-3.640625,-519,570,0.0542635658914729,0.178294573643411
81,-53.4833333333333,-340,139,6.20338983050847,-260,166,0.0166666666666667,0.25
82,1.77777777777778,-56,313,0.325,-290,266,0.0617283950617284,0.0617283950617284
83,165.15873015873,-18,778,-12.241935483871,-208,59,0.761904761904762,0.0158730158730159
84,-189.654320987654,-905,51,4.575,-786,580,0.0493827160493827,0.753086419753086
85,-200.833333333333,-1708,57,18.1789473684211,-63,860,0.1875,0.8125
86,58.5593220338983,-16,112,0.327586206896552,-78,96,0.542372881355932,0.0169491525423729
87,157.406504065041,0,396,0.213114754098361,-298,352,0,0
88,890.243902439024,0,11758,-41.7295081967213,-9781,9419,0.552845528455285,0
89,154.43661971831,-6,2247,-29.5142857142857,-1620,194,0.647887323943662,0
90,176.053333333333,-24,1918,-18.8108108108108,-1033,500,0.586666666666667,0.16
91,125.78,-41,1231,-24.734693877551,-856,124,0.42,0.12
92,22.3137254901961,-46,64,0,-71,77,0.588235294117647,0.0392156862745098
93,-50.6,-209,49,0.350746268656716,-112,153,0.0666666666666667,0.0518518518518519
94,-177.47,-5287,44,23.6565656565657,-2971,4098,0.06,0.82
95,-146.378048780488,-586,58,6.83950617283951,-328,237,0.024390243902439,0.195121951219512
96,837.725,-63,10297,-41.1428571428571,-5375,5367,0.175,0.025
97,86.0591397849462,-229,9808,-23.9297297297297,-5367,5363,0.349462365591398,0.0698924731182796
98,-30.4230769230769,-144,31,2.98039215686275,-28,78,0.134615384615385,0.519230769230769
99,-90.0166666666667,-806,34,13.6949152542373,-93,522,0.183333333333333,0.566666666666667
100,6.74358974358974,-29,44,1.44736842105263,-33,24,0.461538461538462,0.282051282051282
101,-241.66,-1422,148,10.0909090909091,-762,613,0.34,0.66
102,-90.925,-341,32,7.97435897435897,-38,107,0.025,0.725
103,337.176470588235,-11,11551,-3.9406779661017,-11291,11193,0.0504201680672269,0.0168067226890756
104,253.085106382979,-24,1542,-14.8478260869565,-1125,524,0.51063829787234,0.234042553191489
105,-74.2027027027027,-591,46,8.19178082191781,-32,290,0.0540540540540541,0.432432432432432
106,17.5483870967742,-8,53,0.866666666666667,-34,45,0.32258064516129,0
107,416.415730337079,-18,1748,-12.6590909090909,-497,366,0.752808988764045,0.0112359550561798
108,173.869047619048,-70,10248,-123.156626506024,-10130,83,0.511904761904762,0.107142857142857
109,-208,-739,44,14.4339622641509,-128,150,0.111111111111111,0.888888888888889
110,68.1263157894737,-23,532,-5.46808510638298,-314,46,0.442105263157895,0.0947368421052632
111,39.0487804878049,-2,85,0.65,-69,69,0.341463414634146,0.024390243902439
112,151.612244897959,9,315,-5.60416666666667,-106,30,1,0
113,4.11594202898551,-74,388,-5.23529411764706,-364,54,0.173913043478261,0.0579710144927536
114,15.6818181818182,-50,69,1.55813953488372,-54,50,0.590909090909091,0.159090909090909
115,118.173333333333,-51,460,-5.54054054054054,-164,73,0.533333333333333,0.0666666666666667
116,-97.8875,-467,64,0.329113924050633,-435,435,0.225,0.0375
117,102.61038961039,-20,910,-11.6315789473684,-422,118,0.441558441558442,0.051948051948052
118,254.337662337662,17,1524,-19.7631578947368,-743,156,1,0
119,67.6190476190476,-6,255,-3.69354838709677,-145,134,0.317460317460317,0.0476190476190476
120,-69.1382978723404,-439,47,4.94623655913979,-78,180,0.170212765957447,0.574468085106383
121,614.962264150943,0,10943,-210.076923076923,-9227,258,0.716981132075472,0
122,171.383838383838,2,637,-6.31632653061224,-220,191,1,0
123,8.88235294117647,-19,48,0.333333333333333,-40,40,0.147058823529412,0.0588235294117647
124,277.041237113402,-70,9863,-12.53125,-8940,7756,0.371134020618557,0.185567010309278
125,8.23913043478261,-60,81,0.577777777777778,-81,52,0.0652173913043478,0.0217391304347826
126,36.875,-644,240,9.33802816901408,-143,515,0.25,0.0555555555555556
127,-40.90625,-1539,237,24.4920634920635,-174,1288,0.5625,0.09375
128,186.136752136752,1,779,-5.50862068965517,-237,114,1,0
129,5.37037037037037,-83,589,-7.0375,-433,83,0.0740740740740741,0.172839506172839
130,558.428571428571,-5,10806,-91.3559322033898,-8895,5820,0.957983193277311,0.00840336134453781
131,-62.1111111111111,-621,82,7.26966292134831,-162,203,0.244444444444444,0.288888888888889
132,-76.1025641025641,-721,108,9.37662337662338,-123,680,0.243589743589744,0.128205128205128
133,13.6666666666667,-26,63,0.2375,-38,43,0.444444444444444,0.0617283950617284
134,2.67123287671233,-63,75,0.75,-40,53,0.547945205479452,0.452054794520548
135,16.6219512195122,-90,130,0.0617283950617284,-132,112,0.0853658536585366,0.109756097560976
136,147.070175438596,-30,1451,-17.4642857142857,-1414,1413,0.333333333333333,0.087719298245614
137,21.8285714285714,-111,89,-0.956521739130435,-53,66,0.3,0.157142857142857
138,45.2758620689655,-245,279,-1.64912280701754,-446,517,0.482758620689655,0.0862068965517241
139,-48.8985507246377,-286,181,0.138686131386861,-206,206,0.108695652173913,0.0144927536231884
140,-411.715384615385,-10278,84,42.8992248062016,-4755,8139,0.123076923076923,0.653846153846154
141,-82.530303030303,-389,86,6.35384615384615,-98,177,0.0151515151515152,0.5
142,-120.386861313869,-11239,217,82.7794117647059,-168,11136,0.109489051094891,0.0948905109489051
143,20.7213114754098,-4,49,-0.0666666666666667,-36,33,0.229508196721311,0.0163934426229508
144,79.6190476190476,8,235,-9.05,-131,70,1,0
145,-4.18487394957983,-350,108,3.1864406779661,-58,350,0.260504201680672,0.0420168067226891
146,127.409836065574,2,688,-11.0333333333333,-213,87,1,0
147,139.912280701754,-15,539,-9.07142857142857,-130,29,0.754385964912281,0.0175438596491228
148,12.6938775510204,-1271,508,13.2989690721649,-524,749,0.377551020408163,0.142857142857143
149,13.1463414634146,-70,68,0.864197530864197,-99,106,0.25609756097561,0.121951219512195
150,60.2396694214876,-18,446,0.15,-233,446,0.231404958677686,0.00826446280991736
151,-7.2625,-736,285,8.68354430379747,-131,582,0.2,0.125
152,405.346666666667,18,1931,-13.8378378378378,-822,969,1,0
153,120.317757009346,-55,543,-0.839622641509434,-285,399,0.878504672897196,0.00934579439252336
154,-520.703125,-12231,32,14.7777777777778,-11326,11325,0.34375,0.65625
155,76.8360655737705,-44,394,-6.13333333333333,-187,60,0.557377049180328,0.0327868852459016
156,17.9272727272727,-41,56,0.351851851851852,-37,40,0,0.0545454545454545
157,48.6619718309859,-78,188,-2,-157,80,0.47887323943662,0.0985915492957746
158,-215.777777777778,-1570,48,14.4205607476636,-175,670,0.203703703703704,0.666666666666667
159,-205.666666666667,-852,64,12.3661971830986,-39,486,0.111111111111111,0.888888888888889
160,-141.25,-585,226,12.7674418604651,-260,455,0.454545454545455,0.545454545454545
161,-527.432835820896,-4932,64,37.1729323308271,-162,4547,0,0.791044776119403
162,150.767441860465,3,517,-11.5,-225,62,1,0
163,-68.302752293578,-422,215,-0.638888888888889,-250,145,0.165137614678899,0.660550458715596
164,-365.3125,-11887,79,0.164556962025316,-9348,10401,0.275,0.7125
165,448.095890410959,-34,10662,-19.9722222222222,-9469,9150,0.328767123287671,0.0958904109589041
166,-72.3214285714286,-1019,696,5.86486486486486,-915,761,0.205357142857143,0.410714285714286
167,295.013513513513,-19,4828,-65.8767123287671,-3167,307,0.783783783783784,0.027027027027027
168,68.6271186440678,-59,424,-6.27586206896552,-126,133,0.305084745762712,0.0847457627118644
169,-11.735632183908,-128,65,0.127906976744186,-111,71,0.195402298850575,0.0344827586206897
170,22.7213114754098,-24,93,0.55,-47,39,0.59016393442623,0.0819672131147541
171,1.91970802919708,-53,75,0.191176470588235,-72,96,0.160583941605839,0.0072992700729927
172,218.505376344086,-4,1296,-3.39130434782609,-795,1008,0.903225806451613,0.010752688172043
173,58.078431372549,-30,345,-6.38,-101,40,0.352941176470588,0.294117647058824
174,-170.81,-5195,64,17.4343434343434,-3487,4156,0.35,0.42
175,-146.396226415094,-5191,241,11.2095238095238,-3848,4412,0.0471698113207547,0.150943396226415
176,33.4444444444444,-118,185,-0.467741935483871,-126,131,0.412698412698413,0.0317460317460317
177,-57.9024390243902,-168,38,2.07407407407407,-118,114,0.0731707317073171,0.48780487804878
178,-65.8275862068966,-2427,158,37.6315789473684,-301,2347,0.310344827586207,0.224137931034483
179,46.1777777777778,-25,130,-0.325842696629214,-53,97,0.0777777777777778,0.0777777777777778
180,39.2978723404255,0,74,0.565217391304348,-60,60,0,0
181,-7.88976377952756,-148,179,0.206349206349206,-148,179,0.149606299212598,0.0078740157480315
182,865.524390243902,-124,11087,-1.95705521472393,-10768,10498,0.128048780487805,0.00609756097560976
183,192.982456140351,-12,2069,-36.4821428571429,-1291,490,0.666666666666667,0.0175438596491228
184,50.9115044247788,-29,186,0.232142857142857,-86,76,0.141592920353982,0.0884955752212389
185,-9.63461538461539,-418,167,4.27184466019417,-65,149,0.548076923076923,0.307692307692308
186,137.746666666667,-47,669,-8.78378378378378,-301,61,0.693333333333333,0.0933333333333333
187,10.75,-25,59,-0.0212765957446809,-33,25,0.291666666666667,0.125
188,-44.8488372093023,-258,48,2.69411764705882,-235,258,0.209302325581395,0.13953488372093
189,29.8,-10,64,-2.36842105263158,-74,33,0.9,0.05
190,13.3333333333333,-29,97,-1.20338983050847,-56,28,0.25,0.216666666666667
191,-56.5,-646,133,5.97938144329897,-106,271,0.520408163265306,0.479591836734694
192,163.854545454545,22,603,-10.6851851851852,-292,202,1,0
193,16.3571428571429,-56,75,0.926829268292683,-44,83,0.595238095238095,0.285714285714286
194,88.1041666666667,-23,178,-1.07368421052632,-123,110,0.03125,0.0416666666666667
195,66.0176991150443,-34,335,-2.75892857142857,-93,122,0.389380530973451,0.0442477876106195
196,89.7352941176471,0,2014,-29.7910447761194,-1735,52,0.25,0
197,-643.5,-11848,366,80.037037037037,-5391,5067,0.182926829268293,0.317073170731707
198,110.876923076923,-16,538,-7.953125,-219,131,0.307692307692308,0.0461538461538462
199,-92.2307692307692,-222,54,7.28,-109,179,0.0769230769230769,0.5
200,-163.796296296296,-606,66,9.20754716981132,-151,337,0.259259259259259,0.740740740740741
201,7.84090909090909,-10,71,0.218390804597701,-31,39,0.0681818181818182,0.0113636363636364
202,279.565217391304,19,1208,-17.3676470588235,-435,81,1,0
203,251.493333333333,-16,1092,-8.90540540540541,-378,402,0.586666666666667,0.0133333333333333
204,-173.519230769231,-1750,62,11.8349514563107,-555,537,0.230769230769231,0.442307692307692
205,68.6129032258064,-14,372,-6.0655737704918,-203,115,0.82258064516129,0.0161290322580645
206,-81,-832,117,7.95145631067961,-70,336,0.0961538461538462,0.173076923076923
207,7,-68,96,0.26530612244898,-64,40,0.323232323232323,0
208,-199.327586206897,-801,74,14.3157894736842,-72,459,0.137931034482759,0.344827586206897
209,119.344086021505,17,1593,-7.26086956521739,-846,907,1,0
210,61.1851851851852,-89,312,-3.175,-112,112,0.296296296296296,0.0617283950617284
211,-223.043859649123,-4903,64,43.6194690265487,-176,3166,0.157894736842105,0.719298245614035
212,218.333333333333,-59,1651,-24,-1038,136,0.579710144927536,0.0144927536231884
213,1.16216216216216,-25,35,0.333333333333333,-35,37,0.0540540540540541,0.162162162162162
214,-148.235849056604,-706,74,6.97142857142857,-152,157,0.0754716981132075,0.509433962264151
215,3.05882352941176,-121,175,-0.11864406779661,-127,170,0.00840336134453781,0.226890756302521
216,102.141414141414,-59,395,-3.23469387755102,-187,163,0.676767676767677,0.0101010101010101
217,194.855670103093,-499,975,-9.39583333333333,-825,852,0.494845360824742,0.0103092783505155
218,49.5301204819277,-90,230,1.28048780487805,-106,89,0.373493975903614,0.0602409638554217
219,-47.1470588235294,-128,0,-0.939393939393939,-65,65,0,0
220,127.64,-37,1114,-14.7027027027027,-684,56,0.64,0.0666666666666667
221,-98.4,-1098,64,11.5116279069767,-1047,1068,0.488888888888889,0.288888888888889
222,18.7538461538462,-7,48,0.296875,-40,32,0.615384615384615,0.0461538461538462
223,315.444444444444,26,806,-17.3409090909091,-379,106,1,0
224,159.05376344086,-43,2264,-24.3260869565217,-1325,646,0.150537634408602,0.032258064516129
225,-212.438596491228,-588,64,5.43362831858407,-217,236,0.157894736842105,0.666666666666667
226,-159.011363636364,-1152,40,11.6091954022988,-254,438,0.238636363636364,0.25
227,130.984126984127,-46,804,-12.5483870967742,-212,155,0.380952380952381,0.492063492063492
228,63.0789473684211,-12,513,-6.36,-409,44,0.315789473684211,0.0657894736842105
229,-40.7889908256881,-227,56,0.240740740740741,-161,135,0.128440366972477,0.00917431192660551
230,33.8305084745763,-5,81,-0.396551724137931,-50,60,0.474576271186441,0.0169491525423729
231,96.7627118644068,-35,508,-2.40909090909091,-148,96,0.338983050847458,0.0508474576271186
232,-121.018518518519,-850,31,15.5849056603774,-33,428,0.166666666666667,0.37037037037037
233,-11.15,-1737,803,14.2658227848101,-790,1150,0.3875,0.2
234,-56.5724637681159,-420,172,3.16058394160584,-79,225,0.108695652173913,0.36231884057971
235,120.820512820513,-87,383,-2.98701298701299,-175,153,0.5,0
236,604.044776119403,-310,11784,-161.19696969697,-10122,8910,0.26865671641791,0.656716417910448
237,-60.0823529411765,-167,64,0.833333333333333,-97,64,0.211764705882353,0.788235294117647
238,-81.8510638297872,-1812,214,19.6881720430108,-355,1004,0.127659574468085,0.138297872340426
239,134.752577319588,1,1222,-12.5,-558,102,1,0
240,-54.3,-279,60,0.329113924050633,-239,142,0.1,0.0375
241,-36.2894736842105,-239,161,3.08,-177,184,0.263157894736842,0.355263157894737
242,99.1044776119403,-82,479,-5.54545454545455,-326,288,0.776119402985075,0.0746268656716418
243,44.5121951219512,-267,477,0.0931372549019608,-410,418,0.136585365853659,0.024390243902439
244,26.5945945945946,-6,79,-1.47222222222222,-77,38,0.621621621621622,0.027027027027027
245,-59.1436464088398,-220,64,0.144444444444444,-129,126,0.0165745856353591,0
246,0.697674418604651,-57,68,1.45238095238095,-40,75,0.418604651162791,0.348837209302326
247,214.31884057971,-110,1841,-26.6911764705882,-452,85,0.347826086956522,0.101449275362319
248,-80.8157894736842,-343,64,9.72972972972973,-38,106,0.421052631578947,0.578947368421053
249,12.4285714285714,3,22,0.8,-13,10,1,0
250,34.6727272727273,-49,112,-0.666666666666667,-89,61,0.454545454545455,0.0545454545454545
251,298.743243243243,-21,5395,-22.4794520547945,-4450,4416,0.797297297297297,0.027027027027027
252,29,-5,70,-2.78571428571429,-47,26,0.666666666666667,0.0666666666666667
253,14.2068965517241,-22,64,1.64285714285714,-38,41,0.0344827586206897,0.103448275862069
254,105.218181818182,-5,528,-9.09259259259259,-358,463,0.836363636363636,0.0181818181818182
255,-7.61538461538462,-74,79,0.857142857142857,-114,137,0.0897435897435897,0.166666666666667
256,370.304964539007,-101,9893,-32.0857142857143,-5471,5399,0.567375886524823,0.0354609929078014
257,204,-4,868,-4.69298245614035,-272,507,0.347826086956522,0.00869565217391304
258,-132.564516129032,-938,72,6.88524590163934,-487,598,0.580645161290323,0.419354838709677
259,12.875,2,23,0.347826086956522,-14,11,1,0
260,108.311111111111,4,771,-14.8863636363636,-238,97,1,0
261,57.3655913978495,-13,195,0.206521739130435,-90,146,0.118279569892473,0.010752688172043
262,223.787234042553,-7,2287,-49.1521739130435,-1222,77,0.765957446808511,0.0212765957446809
263,1218.13333333333,-110,11942,-36.589552238806,-7020,5737,0.533333333333333,0.0148148148148148
264,-15.3846153846154,-217,72,4.96,-112,147,0.461538461538462,0.384615384615385
265,-73,-695,44,10.1549295774648,-95,228,0.111111111111111,0.25
266,-663.323529411765,-2612,51,39.0298507462687,-389,676,0.323529411764706,0.647058823529412
267,-24.4,-236,70,3.31081081081081,-124,160,0.133333333333333,0.253333333333333
268,-49.9406779661017,-167,43,-0.264957264957265,-116,127,0.0254237288135593,0.669491525423729
269,23.0512820512821,-19,92,-2.21052631578947,-59,61,0.358974358974359,0.205128205128205
270,306.478260869565,26,1429,-12.2368421052632,-987,138,1,0
271,-78.5409836065574,-587,153,6.36666666666667,-212,379,0.180327868852459,0.311475409836066
272,12.3333333333333,-23,44,0.16,-43,47,0.235294117647059,0.0980392156862745
273,-155.707317073171,-543,64,7.02469135802469,-105,164,0.121951219512195,0.463414634146341
274,369.479452054795,22,1327,-13.5694444444444,-752,815,1,0
275,-314.048611111111,-4426,59,31.0489510489511,-2955,3388,0.00694444444444444,0.5
276,-76.6744186046512,-1299,64,15.5882352941176,-89,1088,0.162790697674419,0.27906976744186
277,-133.369047619048,-2085,94,14.0240963855422,-947,1104,0.0595238095238095,0.357142857142857
278,78.5864661654135,-18,250,0.196969696969697,-120,116,0.150375939849624,0.0300751879699248
279,15.3727272727273,-77,82,0.165137614678899,-71,77,0.209090909090909,0.0818181818181818
280,-37.5652173913044,-224,46,0.285714285714286,-203,203,0.0434782608695652,0.315217391304348
281,-422.948275862069,-11251,50,197.719298245614,-89,10888,0.275862068965517,0.620689655172414
282,29.5243902439024,-63,255,0.234567901234568,-223,255,0.682926829268293,0.0121951219512195
283,45.2134831460674,-124,625,-6.93181818181818,-314,84,0.348314606741573,0.168539325842697
284,393.067961165049,12,1643,-15.6666666666667,-766,322,1,0
285,-267.846153846154,-1237,78,19.8235294117647,-139,544,0.576923076923077,0.423076923076923
286,-277.393939393939,-5432,64,41.6259541984733,-306,4707,0.212121212121212,0.333333333333333
287,186.939393939394,5,550,-15.1875,-246,116,1,0
288,-30.037037037037,-241,175,-1.95,-189,149,0.555555555555556,0.382716049382716
289,238.009345794393,9,1374,-7.43396226415094,-831,407,1,0
290,136.965517241379,-9,312,-3.03488372093023,-128,49,0.804597701149425,0.0114942528735632
291,212.8,22,867,-13.140625,-175,34,1,0
292,125.131313131313,-44,465,-2.31632653061224,-141,156,0.404040404040404,0.0303030303030303
293,227.985507246377,-93,894,-9.54411764705882,-299,354,0.608695652173913,0.101449275362319
294,158.329113924051,-11,681,-7.41025641025641,-182,92,0.784810126582278,0.0379746835443038
295,167.75,8,579,-6.36781609195402,-99,57,1,0
296,88.7852348993289,-37,343,0.175675675675676,-302,336,0,0.00671140939597315
297,22.2,-46,119,0.440677966101695,-56,95,0.333333333333333,0.0833333333333333
298,124.451612903226,-192,461,-7.11475409836066,-412,404,0.903225806451613,0.0161290322580645
299,-70.1515151515152,-442,80,5.81538461538462,-84,238,0.257575757575758,0.454545454545455
300,338.954545454545,19,1905,-17.9302325581395,-1482,616,1,0
301,45.6774193548387,-28,148,0.426229508196721,-48,88,0.0967741935483871,0.0806451612903226
302,214.973214285714,-26,603,-5.1981981981982,-112,138,0.866071428571429,0.0625
303,104.672131147541,-28,821,-12.3,-541,89,0.360655737704918,0.0819672131147541
304,-38.4861111111111,-394,67,5.8169014084507,-90,181,0.347222222222222,0.388888888888889
305,166.239436619718,-43,568,-5.42857142857143,-322,227,0.619718309859155,0.0140845070422535
306,-92.5666666666667,-555,68,9.5593220338983,-96,254,0.0166666666666667,0.733333333333333
307,-55.3888888888889,-256,60,5.07547169811321,-74,88,0.185185185185185,0.703703703703704
308,-491.710526315789,-10770,42,143.946666666667,-2702,7864,0.0263157894736842,0.973684210526316
309,16,13,19,1,-3,6,1,0
310,-77.8470588235294,-1410,111,17.0119047619048,-80,847,0.423529411764706,0.341176470588235
311,2.94285714285714,-25,45,-0.205882352941176,-25,43,0.228571428571429,0.285714285714286
312,481.433962264151,-222,9978,-191.384615384615,-7508,301,0.30188679245283,0.0566037735849057
313,-140.769230769231,-1701,48,16.7281553398058,-190,1359,0.00961538461538462,0.153846153846154
314,-157.176470588235,-746,24,10.9253731343284,-31,161,0.0147058823529412,0.720588235294118
315,-304.126666666667,-4440,91,29.9731543624161,-3292,3296,0.0133333333333333,0.653333333333333
316,142.927927927928,-43,1347,-10.8181818181818,-952,901,0.351351351351351,0.00900900900900901
317,143.018181818182,-14,475,-7.2037037037037,-272,103,0.581818181818182,0.0181818181818182
318,-41.2714285714286,-271,74,4.28985507246377,-76,208,0.228571428571429,0.357142857142857
319,85.3488372093023,5,295,-5.52380952380952,-190,61,1,0
320,-89.0161290322581,-684,125,11.0983606557377,-285,496,0.483870967741936,0.129032258064516
321,131.7421875,-59,1095,-4.26771653543307,-336,500,0.4453125,0.0234375
322,-446.589743589744,-5319,72,22.3766233766234,-3622,3644,0.0128205128205128,0.564102564102564
323,-159.446808510638,-672,51,5.7741935483871,-261,455,0.127659574468085,0.872340425531915
324,-122.783018867925,-1454,47,14.0190476190476,-142,495,0.141509433962264,0.622641509433962
325,208.15873015873,-67,5287,-85.0645161290323,-3354,469,0.349206349206349,0.301587301587302
326,9.70833333333333,-28,46,0.695652173913043,-25,31,0.583333333333333,0.375
327,-53.0769230769231,-903,78,18.2156862745098,-205,474,0.0769230769230769,0.230769230769231
328,63.8358208955224,-57,480,-4.18181818181818,-151,186,0.26865671641791,0.223880597014925
329,150.901639344262,-20,1071,-17.1166666666667,-583,125,0.60655737704918,0.0983606557377049
330,-40.0550458715596,-172,79,0.240740740740741,-113,64,0.18348623853211,0.00917431192660551
331,103.149425287356,-173,364,-3.97674418604651,-221,104,0.413793103448276,0.0804597701149425
332,217.843537414966,-90,10286,-67.0684931506849,-9279,593,0.26530612244898,0.156462585034014
