Event,Result,FirstMove,NumberOfMoves,WhiteElo,BlackElo
189,D,d4d5,10,2506,2498
190,W,e4c5,30,2144,2068
191,B,d4Nf6,49,2591,2590
192,W,e4d6,28,2330,2151
193,D,e4c5,21,2229,2457
194,D,d4Nf6,48,2538,2394
195,W,e4c5,57,2411,2201
196,W,d4Nf6,34,2442,2171
197,B,e4e5,41,1915,1803
198,W,d4Nf6,33,2398,2053
199,B,d4f5,13,2022,2205
200,B,d4d6,27,2154,2307
201,D,d4d5,44,2287,2496
202,W,d4Nf6,35,2167,1758
203,W,e4c5,38,1818,1837
204,B,d4Nf6,52,1922,2363
205,W,c4e6,31,2549,2185
206,B,c4c5,52,2548,2477
207,D,e4c5,50,2049,2309
208,B,Nf3d5,29,2585,2546
209,W,d4f5,47,2625,2244
210,W,Nf3d5,41,2505,2287
211,B,e4c5,57,2172,2351
212,W,d4Nf6,35,2525,2150
213,D,Nf3d5,19,2624,2621
214,B,e4c5,53,2160,2275
215,D,b3e5,60,1641,1543
216,W,e4e6,50,2459,2312
217,W,Nf3c5,49,2311,2492
218,D,Nf3Nf6,42,2379,2091
219,D,g3d5,17,2359,2353
220,W,e4e6,38,2260,2204
221,D,e4c5,23,2039,1872
222,W,d4Nf6,33,2129,2003
223,W,e4d6,23,2190,2306
224,W,e4e5,47,1778,1959
225,B,e4c5,57,2091,2419
226,B,c4Nf6,44,2205,2310
227,W,e4e5,32,2194,2024
228,W,e4e5,38,2379,2297
229,D,e4e5,55,2436,2263
230,D,Nf3Nf6,30,2263,2307
231,W,d4d5,89,2442,2280
232,B,c4c5,27,1894,2465
233,B,d4d5,40,1683,2086
234,B,e4c5,69,2140,2375
235,W,d4Nf6,39,2411,2493
236,W,e4c5,34,2231,1858
237,D,e4c5,43,2165,1850
238,B,d4Nf6,49,1639,1924
239,W,d4d5,49,2264,1692
240,D,e4e6,40,2257,2101
241,B,d4d5,38,2045,2387
242,W,e4d5,34,2221,1981
243,D,d4Nf6,103,2408,2399
244,W,e4c5,19,2506,2194
245,D,e4c5,91,2773,2761
246,D,d4Nf6,22,2699,2764
247,W,e4c5,35,1640,1464
248,B,e4c5,19,2026,2447
249,D,d4d5,11,2497,2554
250,W,d4d5,29,2229,2051
251,W,c4e5,38,2388,2233
252,D,d4Nf6,8,2366,2394
253,D,e4c5,15,2504,2519
254,W,e4c5,28,2142,1858
255,D,f4g6,39,2159,2076
256,W,c4e6,71,2705,2577
257,W,Nf3Nf6,58,2449,2303
258,B,d4Nf6,31,1972,2356
259,D,d4Nf6,12,1969,2228
260,W,d4Nf6,23,2517,2053
261,D,d4d5,47,2625,2503
262,W,e4c5,24,2531,2017
263,W,d4Nf6,68,2540,2662
264,D,d4Nf6,13,2209,1916
265,B,e4e6,36,2328,2318
266,B,e4e5,34,1649,2188
267,B,e4c5,38,2044,2181
268,D,g3c5,59,2187,2029
269,D,c4g6,20,1978,2186
270,W,e4a6,58,2312,2011
271,B,e4c5,31,1904,2091
272,D,e4e5,26,2464,2493
273,B,e4c5,41,1657,2123
274,W,e4d5,37,1651,1508
275,B,e4e5,72,2061,2145
276,B,e4c5,43,2256,2377
277,B,e4c5,42,2442,2397
278,D,e4c5,67,2161,2532
279,D,Nf3Nf6,55,2208,1999
280,D,e4e6,46,2666,2548
281,B,d4Nf6,29,2224,2428
282,D,d4Nf6,41,2414,2404
283,W,g3g6,45,2394,2255
284,W,e4b6,52,2255,2159
285,B,c4g6,26,2030,2183
286,B,e4c5,66,2032,2279
287,W,d4Nf6,17,2206,1969
288,W,c4f5,41,2174,2261
289,W,e4c5,55,2387,2222
290,W,e4c6,44,2368,2125
291,W,e4c5,33,2368,1811
292,W,e4c6,50,2466,2270
293,W,e4c6,37,2511,2403
294,W,d4Nf6,40,2223,1912
295,W,d4Nf6,44,2515,2007
296,D,e4c5,75,2354,2491
297,D,e4c5,30,1902,2153
298,W,d4Nf6,31,2603,2417
299,B,d4Nf6,33,1623,2146
300,W,e4e5,23,2037,1582
301,D,e4c5,31,2437,2387
302,W,e4e5,56,2225,2234
303,W,d4Nf6,31,2191,2520
304,B,d4Nf6,36,2265,2381
305,W,e4e6,36,2138,1835
306,B,d4Nf6,30,2078,2639
307,B,e4e5,27,1989,2174
308,B,e4e6,38,2084,2461
309,W,d4d5,2,2554,2288
310,B,d4Nf6,43,2064,2174
311,D,d4d5,18,2364,2398
312,W,e4g6,28,2149,2446
313,B,d4Nf6,52,1960,2044
314,B,b3e5,34,2241,2439
315,B,e4g6,75,2431,2717
316,W,c4g6,56,2302,2042
317,W,d4f5,28,2552,2511
318,B,e4c5,35,2479,2310
319,W,e4g6,22,2484,2349
320,B,d4Nf6,31,1974,2140
321,W,e4e5,65,2651,2477
322,B,e4c6,40,1313,1842
323,B,d4d5,47,1745,2011
324,B,Nf3d5,53,2309,2608
325,W,e4e6,32,1897,1475
326,D,d4d5,12,2712,2625
327,B,e4c6,26,2464,2424
328,W,e4e6,34,2348,1881
329,W,e4c5,31,2198,1968
330,D,e4e5,55,2638,2388
331,W,d4d5,44,2427,2202
332,W,d4f5,74,2525,2138
333,W,c4e5,35,2521,2344
334,B,d4d6,56,2577,2466
335,W,e4e5,44,1854,1705
336,D,d4Nf6,42,2695,2612
337,W,Nf3g6,36,2528,2190
338,B,d4Nf6,21,2345,2534
339,W,d4d6,41,2556,2302
340,D,d4d5,63,2454,2472
341,D,d4Nf6,31,2645,2464
342,D,e4c5,46,2066,1763
343,W,g3d5,45,2568,2440
344,W,d4d5,36,2470,2226
345,B,e4c5,23,1884,2547
346,D,e4e5,47,2374,2554
347,B,d4c5,68,1846,1765
348,B,e4e5,48,2048,1848
349,B,e4d6,31,1921,2308
350,W,e4c5,42,2136,2243
351,D,e4d5,58,2301,2119
352,B,d4Nf6,34,2009,2293
353,W,c4g6,36,1915,2105
354,W,c4Nf6,58,2596,2291
355,B,e4d6,40,2166,2416
356,W,e4e5,31,2645,2302
357,D,e4d5,44,1939,2052
358,B,e4e5,26,2312,2067
359,W,d4Nf6,48,2543,2412
360,W,e4c5,56,2138,1927
361,D,e4c5,33,2457,2309
362,D,d4Nf6,44,2481,2252
363,W,e4e6,25,2210,1971
364,D,d4Nf6,44,2392,2275
365,D,e4c5,45,2209,2338
366,W,e4c5,44,2631,2711
367,D,e4c6,44,2123,2358
368,B,e4e5,36,2015,2507
369,D,e4c5,46,2250,2507
370,B,d4Nf6,45,1735,1822
371,W,e4Nc6,25,1904,2030
372,D,Nf3c5,31,1967,2215
373,W,Nf3Nf6,50,2457,2063
374,B,d4d6,29,2224,2356
375,B,f4c5,49,2144,2534
376,B,d4g6,90,1959,2095
377,W,e4e5,32,2249,2011
378,B,c4f5,23,2350,2521
379,W,d4Nf6,39,2497,2351
380,W,e4e5,54,2404,2414
381,W,Nf3Nf6,35,2583,2206
382,W,Nf3e6,25,2274,1797
383,D,d4g6,32,1937,2155
384,W,d4Nf6,59,2164,2434
385,B,d4Nf6,55,2395,2270
386,D,Nf3Nf6,29,2184,2473
387,W,e4c5,40,2667,2375
388,B,e4d5,25,2488,2531
389,W,e4c5,32,2128,1965
390,D,d4Nf6,67,2693,2469
391,D,Nf3Nf6,48,2521,2475
392,D,d4d5,75,2095,2193
393,B,e4g6,34,1848,2074
394,B,d4Nf6,38,2053,2205
395,D,e4e5,47,2006,1835
396,W,d4d6,55,2375,2249
397,W,d4c5,58,2255,2235
398,D,e4c5,79,2173,2400
399,W,d4Nf6,36,2445,2583
400,B,e4e5,22,1814,2042
401,B,e4c6,42,2049,2328
402,B,e4Nf6,29,1872,2288
403,W,d4d5,48,2292,2593
404,B,d4Nf6,42,2465,2710
405,D,e4c5,47,2405,2539
406,W,e4e5,25,2457,2201
407,W,e4c5,59,2177,2024
408,D,Nf3c5,28,2182,1869
409,B,e4c5,42,1679,1780
410,B,Nf3Nf6,36,1767,2455
411,D,e4e6,34,2409,2573
412,B,d4d5,30,2127,2498
413,W,Nf3d5,18,2453,2510
414,W,e4c5,56,2203,2365
415,D,e4e6,30,2313,2366
416,D,d4d5,62,1730,1921
417,B,e4d5,27,2398,2370
418,B,d4Nf6,40,2176,2359
419,W,e4c5,37,2240,2223
420,W,d4Nf6,62,2664,2610
421,B,e4c5,58,2566,2501
422,W,d4Nf6,41,2678,2734
423,D,e4c6,44,1982,2324
424,D,d4Nf6,54,2237,2209
425,W,e4c6,20,1949,1803
426,B,e4c6,35,2370,2601
427,B,d4Nf6,33,2299,2494
428,D,e4c5,51,2433,2377
429,D,d4d5,60,2639,2368
430,W,e4e5,49,2004,1886
431,D,Nf3Nf6,62,2551,2205
432,W,c4e6,34,2460,2226
433,D,e4c5,63,1663,1948
434,B,e4Nf6,28,2272,2445
435,D,d4e6,47,2312,2596
436,B,e4c5,36,2366,2516
437,B,c4e6,55,2066,2198
438,B,d4Nf6,38,2405,2445
439,W,e4e6,61,2451,2187
440,D,d4Nf6,24,2520,2630
441,D,c4Nf6,28,2309,2356
442,W,e4e6,39,1553,1694
443,W,Nf3Nf6,54,1778,2025
444,B,d4d5,49,2082,1884
445,D,e4e6,63,2271,2379
446,B,c4e5,33,1880,2032
447,W,c4e6,62,2429,2049
448,B,e4c5,35,1895,2347
449,B,e4Nf6,57,2314,2552
450,D,e4c5,14,2216,2304
451,B,e4c5,29,1898,2460
452,B,d4d5,58,2315,2456
453,D,e4e6,44,2220,2134
454,W,d4e6,23,2395,2060
455,D,d4Nf6,31,2286,2255
456,W,e4e6,64,1896,2077
457,W,e4c5,40,2335,2436
458,D,e4e5,42,2786,2772
459,D,c4g6,15,2261,2427
460,B,e4e5,52,2232,2037
461,B,Nf3Nf6,37,2330,2563
462,D,d4Nf6,44,2536,2421
463,B,d4d5,69,1747,2262
464,D,d4Nf6,77,2421,2159
465,B,d4Nf6,35,2349,2597
466,D,e4e5,16,2490,2422
467,D,d4Nf6,31,2548,2118
468,D,e4c6,37,2415,2416
469,B,e4c5,40,1611,1825
470,B,c4Nf6,46,2001,1818
471,W,e4c5,81,2039,2248
472,B,d4g6,61,2153,2294
473,W,d4Nf6,36,2318,1767
474,D,d4d5,25,1951,2213
475,W,d4Nf6,47,2269,2058
476,B,d4e6,80,2513,2392
477,B,e4e5,86,2312,2417
478,D,e4e5,10,2230,2182
479,W,e4e6,28,2430,2126
480,W,d4Nf6,29,2543,2399
481,W,e4e6,54,1836,2301
482,W,e4c5,30,2342,2259
483,W,e4c5,62,2167,1922
484,W,d4Nf6,35,2686,2439
485,W,Nf3d5,39,2371,2436
486,B,d4d6,26,1712,1747
487,W,d4Nf6,41,2007,1889
488,D,e4c5,34,2454,2218
489,W,d4Nf6,54,2526,2409
490,B,f4Nf6,39,1902,2117
491,D,e4c5,64,2465,2474
492,D,c4c5,35,2070,2156
493,B,d4g6,29,1712,2011
494,W,e4d6,38,2272,2153
495,W,e4c5,40,2050,2084
496,W,d4g6,44,2130,1890
497,W,e4e6,25,2647,2556
498,B,e4e5,42,2544,2695
499,B,b3e5,56,2285,2356
500,D,e4c5,53,2355,2092
501,W,Nf3Nf6,42,2607,2269
502,W,e4e5,34,1634,1610
503,W,d4Nf6,74,1817,1528
504,W,c4Nf6,60,2422,2275
505,B,e4c5,33,2132,2264
506,W,d4f5,36,2376,1871
507,W,e4d5,59,2385,2482
508,D,d4f5,69,1888,1690
509,D,d4Nf6,22,2635,2562
510,D,c4e5,48,2257,2145
511,B,d4Nf6,48,1669,2023
512,W,e4c5,56,2573,2487
513,D,e4d5,20,1698,1754
514,B,e4c6,43,2053,2340
515,B,e4c5,36,2138,2335
516,W,e4c5,29,2257,2308
517,W,e4c5,63,2224,2026
518,B,d4Nf6,35,2454,2482
519,B,d4Nf6,29,2254,2646
520,D,b4Nf6,28,1950,2083
521,D,d4d5,44,2467,2327
522,D,d4Nf6,40,2344,2407
523,D,d4Nf6,42,2588,2549
524,D,e4c5,30,1772,1753
525,B,Nf3d5,68,2315,2480
526,B,d4d5,44,2035,2145
527,B,d4Nf6,41,2254,2325
528,D,d4Nf6,10,2282,2356
529,W,e4e6,57,1980,2212
530,B,d4Nf6,21,1881,2295
531,D,d4f5,47,2114,2113
532,B,e4e5,33,2025,2103
533,W,e4c5,53,2322,2315
534,D,d4Nf6,42,2234,2379
535,D,d4d5,37,1990,1820
536,D,d4Nf6,55,2316,2531
537,B,e4c5,51,2195,2094
538,D,e4c6,30,2259,2422
539,W,e4c5,38,2327,2463
540,D,e4c6,37,2024,2189
541,W,d4Nf6,32,2480,1931
542,W,Nf3Nf6,21,2506,2238
543,W,e4c5,56,2496,2458
544,B,e4e5,56,1865,1770
545,D,e4e6,22,2108,1867
546,B,d4d5,38,2578,2491
547,W,d4d5,59,2503,2610
548,D,d4Nf6,52,2269,2023
549,W,d4d5,34,2393,2171
550,W,e4e6,27,2098,2135
551,D,e4c5,53,1914,2054
552,W,e4c5,32,2418,2180
553,W,d4Nf6,32,1908,1755
554,W,e4e6,47,2364,1880
555,W,d4Nf6,31,2524,2124
556,W,d4Nf6,25,2111,2025
557,D,Nf3Nf6,8,2305,2360
558,W,d4Nf6,30,2441,1967
559,W,e4d6,26,2567,2283
560,B,e4d6,38,1932,2153
561,W,d4Nf6,50,2117,1664
562,D,e4c5,40,2277,2273
563,W,e4d6,35,2026,1787
564,W,d4Nf6,21,1924,1707
565,B,e4e6,34,2246,2261
566,W,d4f5,35,2342,2204
567,W,e4c5,36,2380,2239
568,D,e4e6,15,2483,2526
569,W,e4c5,38,2497,2312
570,D,Nf3Nf6,70,2321,2274
571,W,d4d5,72,2275,2409
572,D,d4Nf6,30,2369,2207
573,B,e4c5,40,2411,2673
574,W,c4Nf6,45,2693,2529
575,D,d4d5,42,2192,2386
576,B,c4e5,37,1726,1999
577,D,e4c5,25,2241,2031
578,D,e4c5,46,2450,2683
579,B,d4d6,56,1583,1880
580,D,e4e5,51,2273,2032
581,D,d4Nf6,24,2124,2013
582,D,d4Nf6,44,1975,1731
583,D,Nf3Nf6,10,2252,2360
584,B,e4c5,30,1916,2221
585,D,e4c5,41,2348,2628
586,B,e4c5,41,2246,2325
587,D,e4e6,49,2610,2517
588,W,e4e5,62,2072,1743
589,B,e4e5,40,2350,2414
590,W,e4e6,70,2098,1932
591,W,e4c5,24,2202,1941
592,D,e4c5,38,2251,2212
593,W,d4d5,21,2188,1915
594,D,Nf3g6,22,2431,2187
595,W,e4e6,35,1824,1940
596,D,e4c5,41,2663,2521
597,B,d4Nf6,25,2265,2569
598,D,d4d5,31,2261,1961
599,B,d4Nf6,40,2410,2549
600,W,e4c6,69,2459,2408
601,D,e4d6,70,2481,2445
602,D,d4d6,24,2076,2080
603,B,d4Nf6,36,1716,1845
604,D,d4d5,17,2601,2602
605,W,e4c6,52,2302,2014
606,W,e4c6,29,1647,1753
607,W,Nf3d5,65,2107,1876
608,W,e4d6,34,1933,1797
609,W,d4Nf6,40,1781,2034
610,D,d4Nf6,58,2068,2208
611,D,d4Nf6,63,2306,2229
612,W,Nf3c5,34,2483,2321
613,W,d4d5,46,2366,2569
614,D,d4d5,35,1901,2201
615,D,e4c6,19,2628,2616
616,D,e4e6,13,2638,2636
617,W,d4Nf6,59,2391,2473
618,W,e4c5,23,2508,2216
619,D,d4Nf6,41,2403,2232
620,B,Nf3f5,16,1976,2273
621,W,d4Nf6,20,2378,2274
622,W,d4Nf6,39,2405,2274
623,B,d4Nf6,24,1598,2319
624,W,d4Nf6,30,1986,1642
625,W,e4,1,2244,2290
626,W,e4e5,82,2510,2549
627,B,e4e5,53,2100,2224
628,W,d4c5,39,2411,2432
629,D,d4Nf6,62,2621,2444
630,B,e4c6,42,2375,2339
631,D,e4c5,14,2490,2562
632,D,d4Nf6,40,2170,2018
633,D,c4e5,54,2562,2487
634,W,e4e5,64,2580,2779
635,D,Nf3g6,65,2595,2653
636,B,d4d5,67,2261,2442
637,B,c4e5,44,2251,2059
638,D,e4e5,41,1836,2096
639,B,e4e5,70,2200,2139
640,W,e4c5,45,2244,1984
641,W,e4c5,25,2375,2139
642,W,e4e6,36,2506,2468
643,D,d4d5,43,2164,2395
644,B,g3Nf6,36,2110,2288
645,W,d4Nf6,53,2365,2422
646,B,b3d5,51,1741,2095
647,D,e4c5,43,2181,2351
648,B,d4Nf6,35,2558,2494
649,W,e4e6,46,2380,2199
650,D,d4Nf6,58,2451,2108
651,W,d4Nf6,65,2378,2177
652,B,e4d5,67,2069,2345
653,B,e4e5,68,2605,2575
654,B,d4Nf6,51,1889,1936
655,B,e4c5,28,2135,2258
656,W,e4c5,46,2121,2207
657,B,d4Nf6,20,2355,2166
658,W,e4d6,60,1790,1727
659,D,Nf3c5,73,2366,2409
660,D,Nf3Nf6,33,2612,2434
661,W,d4Nf6,37,2344,2101
662,W,d4Nf6,45,2162,2271
663,W,e4g6,18,2154,2108
664,W,e4c5,36,1950,1912
665,W,d4d5,53,2575,2498
666,B,Nf3Nf6,37,1926,2126
667,B,e4c6,30,2235,2440
668,D,b3d5,24,2295,2307
669,W,Nf3Nf6,39,2711,2226
670,W,e4c5,36,2018,1847
671,B,b3Nf6,19,2006,1998
672,W,d4d5,40,2385,2148
673,W,e4e5,47,2553,2464
674,W,d4Nf6,47,2391,2312
675,B,e4c5,45,2239,2094
676,W,d4Nf6,62,2657,2530
677,W,e4g6,42,1774,1997
678,W,d4Nf6,55,2438,2354
679,B,e4c6,56,2393,2489
680,W,d4d5,135,2746,2702
681,W,d4d5,21,2580,2463
682,D,c4e6,22,2550,2480
683,W,e4e6,37,2476,2287
684,W,d4Nf6,36,2261,2527
685,D,Nf3c5,23,2513,2494
686,B,d4d5,40,1987,2321
687,D,d4Nf6,31,1806,1546
688,W,e4Nf6,30,2069,1934
689,D,e4c6,55,1676,2046
690,W,d4Nf6,28,2598,2461
691,B,e4c5,56,1973,2248
692,W,e4Nc6,33,1872,1718
693,D,Nf3Nf6,38,2288,2475
694,D,c4Nf6,17,2615,2677
695,D,e4c5,17,1852,2083
696,D,Nf3Nf6,15,2318,2349
697,B,d4Nf6,45,2136,2051
698,D,d4Nf6,17,2350,2547
699,D,d4Nf6,51,2281,2377
700,W,e4c5,39,2566,2501
701,W,c4Nf6,59,1909,1824
702,D,e4c5,45,2153,2463
703,W,e4c5,41,2442,2437
704,W,d4d5,22,2571,2084
705,D,e4e5,61,2324,2509
706,W,d4Nf6,41,2384,2350
707,B,e4c5,60,1508,1844
708,B,Nf3Nf6,49,2284,1969
709,D,Nf3c5,50,2436,2468
710,D,c4Nf6,65,1810,1921
711,B,d4Nf6,51,2390,2076
712,B,e4c5,40,2399,2404
713,D,e4e6,32,2486,2366
714,D,e4c5,60,2315,2549
715,D,Nf3d6,49,2254,2074
716,B,e4e5,61,2379,2617
717,W,e4c5,63,2377,2329
718,D,e4e6,29,2308,2131
719,W,d4d5,73,2388,2529
720,W,d4Nf6,29,1616,1483
721,B,d4Nf6,38,2207,2095
722,W,Nc3c5,39,1714,1949
723,W,e4c5,30,2346,2259
724,W,e4e6,49,2461,2178
725,W,d4Nf6,34,2532,2234
726,D,d4Nf6,21,2404,2314
727,W,d4Nf6,58,2324,2376
728,W,e4d5,29,2157,2050
729,B,e4c6,35,2083,2100
730,B,d4Nf6,67,2238,2366
731,W,Nf3Nc6,53,1829,1532
732,D,d4d5,20,1955,1919
733,W,d4Nf6,25,2460,2139
734,W,d4Nf6,33,2547,2353
735,D,e4c5,13,2312,2399
736,B,e4c5,22,1577,1809
737,D,d4d5,37,1993,1812
738,B,d4Nf6,42,2132,2553
739,B,d4Nf6,36,2430,2418
740,B,e4c5,52,1849,2223
741,D,e4e5,42,2343,2275
742,B,d4Nf6,60,2051,2380
743,W,e4c5,47,2437,2533
744,B,d4Nf6,34,2221,2336
745,W,d4d5,60,2299,2207
746,D,e4c5,55,2404,2444
747,D,c4c6,32,2194,2339
748,W,e4c5,40,2275,2098
749,B,d4g6,66,2111,2301
750,W,Nf3Nc6,49,2029,1471
751,B,Nf3c5,42,2100,1940
752,W,e4d5,40,2032,1932
753,B,e4e5,28,1972,1921
754,D,e4c5,39,2406,2498
755,D,d4Nf6,41,2156,1956
756,B,Nf3Nf6,53,2425,2533
757,B,Nf3Nf6,29,1731,2063
758,D,e4e5,24,2493,2529
759,B,c4Nf6,42,1944,2152
760,W,e4c5,78,2330,2206
761,B,Nf3d5,33,2296,2496
762,B,e4c6,27,2293,2580
763,D,d4d5,7,2259,2327
764,W,e4c5,50,2194,1905
765,B,e4c5,33,1527,2054
766,D,e4d5,45,2512,2453
767,W,e4c5,39,2352,2474
768,B,d4d5,46,2194,2068
769,W,d4e6,20,2509,2322
770,B,c4e5,38,1894,2048
771,W,e4c5,66,2333,2138
772,D,e4e6,22,2590,2484
773,B,e4e6,69,1828,2102
774,B,e4d6,26,2009,2437
775,B,e4c6,30,2108,1962
776,B,d4Nf6,39,2291,2423
777,W,d4Nf6,55,2116,1608
778,D,d4d5,41,2578,2648
779,D,e4c5,54,1881,2101
780,W,c4Nf6,39,2561,2449
781,B,f4Nf6,43,2457,2226
782,W,c4c6,32,2107,2006
